Time,Theta1,Theta2,Theta1_dot,Theta2_dot
1.194,-3.16436837363425,0.494135881049403,-1.05307030887447,-0.50164549614759
1.195,-3.16541509089041,0.4936257597008,-1.04036918477535,-0.518573846932712
1.196,-3.1664491120038,0.493098733355538,-1.02767794736658,-0.535455851556593
1.197,-3.16747044678514,0.492554847997687,-1.01499644457781,-0.552292234419521
1.198,-3.16847910489296,0.491994148886699,-1.00232452407689,-0.569083720339341
1.199,-3.1694750958333,0.491416680557008,-0.98966203326789,-0.585831034521283
1.2,-3.17045842895949,0.490822486817656,-0.977008819289304,-0.602534902528317
1.201,-3.17142911347187,0.490211610751952,-0.964364729012511,-0.619196050251624
1.202,-3.17238715841752,0.489584094717153,-0.951729609040219,-0.635815203881201
1.203,-3.17333257268995,0.488939980344189,-0.939103305704902,-0.652393089876551
1.204,-3.17426536502893,0.4882793085374,-0.926485665067255,-0.668930434937459
1.205,-3.17518554402009,0.487602119474314,-0.913876532915968,-0.685427965974899
1.206,-3.17609311809476,0.48690845260545,-0.901275754766616,-0.701886410081703
1.207,-3.17698809552962,0.486198346654151,-0.888683175860771,-0.718306494503245
1.208,-3.17787048444648,0.485471839616444,-0.876098641166,-0.734688946607997
1.209,-3.17874029281195,0.484728968760935,-0.86352199537587,-0.75103449385791
1.21,-3.17959752843723,0.483969770628728,-0.850953082909721,-0.767343863778468
1.211,-3.18044219897777,0.483194281033378,-0.83839174791378,-0.783617783928547
1.212,-3.18127431193306,0.482402535060871,-0.825837834261155,-0.799856981869961
1.213,-3.1820938746463,0.481594567069638,-0.813291185553177,-0.81606218513655
1.214,-3.18290089430417,0.480770410690598,-0.800751645121389,-0.832234121202868
1.215,-3.18369537793654,0.479930098827232,-0.788219056028438,-0.848373517452427
1.216,-3.18447733241622,0.479073663655693,-0.77569326107052,-0.864481101145425
1.217,-3.18524676445868,0.478201136624941,-0.763174102780039,-0.880557599385822
1.218,-3.18600368062178,0.477312548456921,-0.750661423427611,-0.896603739087842
1.219,-3.18674808730554,0.476407929146766,-0.738155065025835,-0.912620246941858
1.22,-3.18747999075183,0.475487307963038,-0.725654869333513,-0.928607849379536
1.221,-3.1881993970442,0.474550713448007,-0.713160677858537,-0.944567272538054
1.222,-3.18890631210755,0.473598173417961,-0.700672331862772,-0.960499242223744
1.223,-3.18960074170793,0.472629714963559,-0.688189672367167,-0.976404483874814
1.224,-3.19028269145229,0.471645364450212,-0.675712540156858,-0.99228372252294
1.225,-3.19095216678824,0.470645147518513,-0.663240775786944,-1.00813768275412
1.226,-3.19160917300386,0.469629089084704,-0.650774219588923,-1.0239670886685
1.227,-3.19225371522742,0.468597213341176,-0.638312711677579,-1.03977266383898
1.228,-3.19288579842721,0.467549543757026,-0.625856091958309,-1.05555513126879
1.229,-3.19350542741134,0.466486103078639,-0.613404200134892,-1.07131521334797
1.23,-3.19411260682748,0.46540691333033,-0.600956875717928,-1.08705363180844
1.231,-3.19470734116277,0.464311995815022,-0.588513958033942,-1.10277110767792
1.232,-3.19528963474355,0.463201371114974,-0.576075286234489,-1.1184683612325
1.233,-3.19585949173524,0.462075059092557,-0.56364069930681,-1.13414611194779
1.234,-3.19641691614217,0.460933078891078,-0.551210036084715,-1.14980507844867
1.235,-3.19696191180741,0.459775448935659,-0.538783135259235,-1.16544597845741
1.236,-3.19749448241268,0.458602186934163,-0.526359835391288,-1.18106952874042
1.237,-3.19801463147819,0.457413309878179,-0.513939974924104,-1.19667644505322
1.238,-3.19852236236253,0.456208834044057,-0.501523392196778,-1.21226744208389
1.239,-3.19901767826259,0.454988774994011,-0.489109925458475,-1.22784323339464
1.24,-3.19950058221345,0.453753147577268,-0.476699412882197,-1.24340453136165
1.241,-3.19997107708835,0.452501965931287,-0.464291692581664,-1.25895204711304
1.242,-3.20042916559861,0.451235243483042,-0.451886602626849,-1.27448649046499
1.243,-3.2008748502936,0.449952992950358,-0.43948398106064,-1.29000856985581
1.244,-3.20130813356073,0.44865522634333,-0.427083665917704,-1.30551899227793
1.245,-3.20172901762544,0.447341954965802,-0.414685495242039,-1.32101846320787
1.246,-3.20213750455122,0.446013189416914,-0.402289307106951,-1.33650768653409
1.247,-3.20253359623965,0.444668939592733,-0.389894939635038,-1.35198736448241
1.248,-3.20291729443049,0.443309214687949,-0.377502231019288,-1.36745819753925
1.249,-3.20328860070169,0.441934023197655,-0.365111019545727,-1.38292088437253
1.25,-3.20364751646958,0.440543372919204,-0.352721143615619,-1.39837612175
1.251,-3.20399404298892,0.439137270954155,-0.340332441769231,-1.41382460445524
1.252,-3.20432818135312,0.437715723710294,-0.32794475271114,-1.42926702520085
1.253,-3.20464993249435,0.436278736903753,-0.315557915335773,-1.44470407453917
1.254,-3.20495929718379,0.434826315561216,-0.303171768753829,-1.46013644077017
1.255,-3.20525627603185,0.433358464022213,-0.290786152320699,-1.47556480984659
1.256,-3.20554086948843,0.431875185941522,-0.278400905664666,-1.49098986527615
1.257,-3.20581307784318,0.430376484291661,-0.26601586871644,-1.50641228802084
1.258,-3.20607290122586,0.428862361365481,-0.253630881740907,-1.52183275639314
1.259,-3.20632033960666,0.427332818778874,-0.24124578536866,-1.53725194594914
1.26,-3.2065553927966,0.425787857473582,-0.228860420629306,-1.55267052937849
1.261,-3.20677806044792,0.424227477720117,-0.216474628985663,-1.56808917639115
1.262,-3.20698834205457,0.4226516791208,-0.204088252369061,-1.58350855360051
1.263,-3.20718623695266,0.421060460612916,-0.191701133216204,-1.59892932440336
1.264,-3.207371744321,0.419453820471993,-0.17931311450714,-1.61435214885624
1.265,-3.20754486318168,0.417831756315204,-0.166924039804117,-1.62977768354816
1.266,-3.20770559240061,0.416194265104897,-0.154533753292218,-1.64520658146966
1.267,-3.20785393068826,0.414541343152264,-0.142142099821329,-1.66063949187795
1.268,-3.20798987660026,0.412872986121141,-0.129748924948769,-1.67607706015846
1.269,-3.20811342853816,0.411189189031948,-0.1173540749837,-1.69151992768227
1.27,-3.20822458475022,0.409489946265777,-0.104957397033312,-1.70696873165932
1.271,-3.20832334333222,0.407775251568629,-0.0925587390496751,-1.72242410498788
1.272,-3.20840970222832,0.406045098055801,-0.0801579498788118,-1.7378866760995
1.273,-3.20848365923198,0.40429947821643,-0.0677548793104332,-1.75335706879967
1.274,-3.20854521198694,0.402538383918202,-0.0553493781296765,-1.76883590210416
1.275,-3.20859435798824,0.400761806412222,-0.0429412981706178,-1.78432379007087
1.276,-3.20863109458328,0.39896973633806,-0.0305304923700067,-1.79982134162698
1.277,-3.20865541897298,0.397162163728968,-0.0181168148247757,-1.81532916039145
1.278,-3.20866732821293,0.395339078017277,-0.00570012084932791,-1.8308478444928
1.279,-3.20866681921468,0.393500468039982,0.00671973296473282,-1.8463779863819
1.28,-3.208653888747,0.391646322044513,0.0191428886877641,-1.86192017264007
1.281,-3.2086285334373,0.389776627694702,0.0315694869887917,-1.87747498378093
1.282,-3.20859074977303,0.387891372076951,0.0439996670706932,-1.89304299405005
1.283,-3.20854053410316,0.385990541706602,0.0564335666044524,-1.90862477121525
1.284,-3.20847788263982,0.384074122534521,0.0688713216603353,-1.92422087635474
1.285,-3.20840279145984,0.382142099953893,0.0813130666379446,-1.93983186363844
1.286,-3.20831525650654,0.380194458807244,0.0937589341944988,-1.95545828010415
1.287,-3.20821527359145,0.378231183393684,0.106209055171558,-1.97110066542785
1.288,-3.2081028383962,0.376252257476388,0.118663558518639,-1.98675955168845
1.289,-3.20797794647442,0.374257664290307,0.131122571215725,-2.00243546312673
1.29,-3.20784059325377,0.372247386550135,0.143586218194214,-2.01812891589828
1.291,-3.20769077403803,0.370221406458511,0.156054622255208,-2.03384041782051
1.292,-3.20752848400926,0.368179705714494,0.168527903985804,-2.04957046811349
1.293,-3.20735371823006,0.366122265522284,0.181006181673604,-2.06531955713485
1.294,-3.20716647164591,0.364049066600224,0.193489571219452,-2.08108816610816
1.295,-3.20696673908762,0.361960089190068,0.205978186047506,-2.09687676684517
1.296,-3.20675451527381,0.359855313066534,0.21847213701287,-2.11268582146151
1.297,-3.20652979481359,0.357734717547145,0.230971532308555,-2.12851578208606
1.298,-3.2062925722092,0.355598281502361,0.243476477369331,-2.14436709056359
1.299,-3.20604284185885,0.353445983366017,0.255987074772257,-2.16024017815089
1.3,-3.20578059805965,0.35127780114606,0.268503424137423,-2.17613546520615
